fingerprint,category,input,json_result,ujson_result,detail_path
d41d8cd98f00b204e9800998ecf8427e,exception_message,'',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
4dedb2240a1e0f038dcdc8b3de92264c,exception_message,'\x0e',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
4dedb2240a1e0f038dcdc8b3de92264c,exception_message,'\x0e',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
ca0815b5b3c953a06913ad4d57ca157c,exception_message,'\x0e\x0e',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
ca0815b5b3c953a06913ad4d57ca157c,exception_message,'\x0e\x0e',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
a55822426a5330c04625a41d264c190b,exception_message,'/\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
430042609496a09e839d716cb6d04bc3,exception_message,'/)',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
3389dae361af79b04c9c8e7057f60cc6,exception_message,'*',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
fbade9e36a3f36d3d676c1b808451dd7,exception_message,'z',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
fbade9e36a3f36d3d676c1b808451dd7,exception_message,'z',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
f4d5d0c0671be202bc241807c243e80b,exception_message,'s\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
f4d5d0c0671be202bc241807c243e80b,exception_message,'s\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
d7e0e029554efc239d3fb4a617d9e094,exception_message,'\n\x08',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
529004769b5d2c8f837db70a3eb4573a,exception_message,'\nH',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
a0256af2d27e434dfccb8532b032df42,exception_message,'2\x1a',EXCEPTION: JSONDecodeError: Extra data: line 1 column 2 (char 1),EXCEPTION: JSONDecodeError: Trailing data,
cf6a312ac405b0ab15abb20768b33a0a,exception_message,'0(',EXCEPTION: JSONDecodeError: Extra data: line 1 column 2 (char 1),EXCEPTION: JSONDecodeError: Trailing data,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
8f5d02dbb39370efb2f7877336e888ab,exception_message,'\n[\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 3),EXCEPTION: JSONDecodeError: Expected object or value,
24b1b2c607962b14c4101382497817ab,exception_message,'\n[[\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 4),EXCEPTION: JSONDecodeError: Expected object or value,
ff44570aca8241914870afbc310cdb85,exception_message,'J',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
21c2e59531c8710156d34a3c30ac81d5,exception_message,'Z',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
170df2a094dfd0b4e57abec5638633d2,exception_message,':Z',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
853ae90f0351324bd73ea615e6487517,exception_message,':',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
9f5393a12883534e7f4f719c0ad09375,exception_message,':\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
8cb35154052c466b5fb997c9e4e6c30e,exception_message,'\n%\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e7a92a4f96f5241eabbd0acd390f2b56,exception_message,'\n%%',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
d7fefd3a577ecab3536ea0d801a3d054,exception_message,'\n\x03%',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
1d18168163bee0e58ab9f3bd7bdbe971,exception_message,'\x03\n%',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
ff44570aca8241914870afbc310cdb85,exception_message,'J',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
76b0b0b60246f4e8e92a39ef7dbea194,exception_message,'J\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
76b0b0b60246f4e8e92a39ef7dbea194,exception_message,'J\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
fc650080b1a33c88d50117b115f96d74,exception_message,'=J\n',EXCEPTION: JSONDecodeError: Expecting value: line 1 column 1 (char 0),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
68b329da9893e34099c7d8ad5cb9c940,exception_message,'\n',EXCEPTION: JSONDecodeError: Expecting value: line 2 column 1 (char 1),EXCEPTION: JSONDecodeError: Expected object or value,
e1c06d85ae7b8b032bef47e42e4c08f9,exception_message,'\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 3 column 1 (char 2),EXCEPTION: JSONDecodeError: Expected object or value,
ff4c8ff01d544500ea4bfea43e6108c1,exception_message,'\n\n\n\n',EXCEPTION: JSONDecodeError: Expecting value: line 5 column 1 (char 4),EXCEPTION: JSONDecodeError: Expected object or value,
